@relation TimeBasedFeatures-15s-TOR-NonTOR-85.arff

@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute class1 {TOR,NONTOR}

@data
16,4,1564818,1549373,NONTOR
18,4,1567554,1527893,NONTOR
29,15,1270547,1079974,NONTOR
19,8,2492050,2457286,NONTOR
19,10,3094089,3093543,NONTOR
30,6,3149632,2964504,NONTOR
22,6,2426308,2425956,NONTOR
30,8,2067690,2068091,NONTOR
18,9,2321059,2278426,NONTOR
28,16,4238250,4049808,NONTOR
19,12,1039941,851636,NONTOR
21,8,8107194,7918721,NONTOR
27,10,78594,187939,NONTOR
18,5,3029278,2997586,NONTOR
72,138,13099598,13090662,NONTOR
18,6,156252,183469,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
10531933,10758874,10531933,10758874,NONTOR
89979,44534,12624278,12492923,NONTOR
-1,-1,-1,-1,NONTOR
159773,160546,3687861,3521252,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
68498,41928,8511243,8582369,NONTOR
129042,130025,9803389,10025737,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
89905,36324,5404093,5625758,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
80136,34443,5621745,5480150,NONTOR
-1,-1,-1,-1,NONTOR
130378,131955,8743412,8965015,NONTOR
208874,37291,8058185,8230579,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
90858,43339,10144287,10366032,NONTOR
90559,37796,8949375,9170828,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
135668,136622,11431645,11431717,NONTOR
134714,135160,5223639,5224747,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
133393,133832,8235216,8013859,NONTOR
-1,-1,-1,-1,NONTOR
89928,46927,10878343,11101041,NONTOR
-1,-1,-1,-1,NONTOR
100531,35564,5603071,5603222,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
138293,139273,11424275,11414111,NONTOR
-1,-1,-1,-1,NONTOR
133251,135377,5710262,5930926,NONTOR
-1,44716,-1,44716,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
143921,42574,14423907,14373496,NONTOR
138853,140600,8278177,8499459,NONTOR
-1,-1,-1,-1,NONTOR
1318109,32984,6119537,6136567,NONTOR
90485,36578,5911281,6133401,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
134111,133067,7484463,7711763,NONTOR
101281,44536,3918857,3921002,NONTOR
-1,-1,-1,-1,NONTOR
139707,132028,4238545,4238796,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
134663,136039,8048789,8058441,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
137306,47153,6154957,6104009,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
115080,115008,4537258,4536234,NONTOR
-1,-1,-1,-1,NONTOR
91244,40988,171794,140275,NONTOR
-1,-1,-1,-1,NONTOR
5,18,2851227,2897302,NONTOR
19,4,2399151,2208529,NONTOR
5,18,2894590,3082953,NONTOR
28,10,3582054,3543856,NONTOR
5,21,5157119,5160313,NONTOR
23,5,4306765,4269663,NONTOR
5,16,5132312,5125969,NONTOR
20,4,5049123,4860293,NONTOR
210594,40989,9430046,9430188,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
124917,129760,12263285,12490876,NONTOR
-1,-1,-1,-1,NONTOR
88358,32995,3695568,3524358,NONTOR
-1,-1,-1,-1,NONTOR
140615,137407,8625036,8620061,NONTOR
109694,42631,10251504,10026843,NONTOR
96838,31524,5767856,5631692,NONTOR
-1,-1,-1,-1,NONTOR
140573,136361,5247595,5477836,NONTOR
-1,-1,-1,-1,NONTOR
103822,44947,10090773,9965855,NONTOR
47387,35436,8282896,8231836,NONTOR
-1,-1,-1,-1,NONTOR
